Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2022-02-06,Bundesgebiet,00,00+,4684,4684,NA,NA,NA,83155031,5.63,5.63,NA,NA,NA
2022-02-05,Bundesgebiet,00,00+,4782,5098,NA,NA,NA,83155031,5.75,6.13,NA,NA,NA
2022-02-04,Bundesgebiet,00,00+,4531,5562,NA,NA,NA,83155031,5.45,6.69,NA,NA,NA
2022-02-03,Bundesgebiet,00,00+,4155,5702,8234,8043,8424,83155031,5,6.86,9.9,9.67,10.13
2022-02-02,Bundesgebiet,00,00+,3970,5865,7875,7699,8029,83155031,4.77,7.05,9.47,9.26,9.66
2022-02-01,Bundesgebiet,00,00+,3816,6011,7590,7421,7755,83155031,4.59,7.23,9.13,8.93,9.33
2022-01-31,Bundesgebiet,00,00+,3858,6136,7438,7279,7595,83155031,4.64,7.38,8.95,8.75,9.13
2022-01-30,Bundesgebiet,00,00+,3998,6202,7410,7260,7564,83155031,4.81,7.46,8.91,8.73,9.1
2022-01-29,Bundesgebiet,00,00+,3956,6154,7251,7116,7395,83155031,4.76,7.4,8.72,8.56,8.89
2022-01-28,Bundesgebiet,00,00+,3927,6187,7152,7031,7294,83155031,4.72,7.44,8.6,8.46,8.77
2022-01-27,Bundesgebiet,00,00+,3855,6200,7034,6925,7171,83155031,4.64,7.46,8.46,8.33,8.62
2022-01-26,Bundesgebiet,00,00+,3539,6202,6911,6813,7041,83155031,4.26,7.46,8.31,8.19,8.47
2022-01-25,Bundesgebiet,00,00+,3385,6057,6636,6551,6754,83155031,4.07,7.28,7.98,7.88,8.12
2022-01-24,Bundesgebiet,00,00+,3222,5834,6303,6228,6407,83155031,3.87,7.02,7.58,7.49,7.71
2022-01-23,Bundesgebiet,00,00+,3260,5680,6108,6038,6205,83155031,3.92,6.83,7.35,7.26,7.46
2022-01-22,Bundesgebiet,00,00+,3267,5621,6016,5950,6108,83155031,3.93,6.76,7.24,7.16,7.35
2022-01-21,Bundesgebiet,00,00+,3133,5415,5753,5695,5835,83155031,3.77,6.51,6.92,6.85,7.02
2022-01-20,Bundesgebiet,00,00+,2958,5237,5527,5476,5599,83155031,3.56,6.3,6.65,6.59,6.73
2022-01-19,Bundesgebiet,00,00+,2780,5009,5249,5206,5311,83155031,3.34,6.02,6.31,6.26,6.39
2022-01-18,Bundesgebiet,00,00+,2636,4789,4985,4948,5037,83155031,3.17,5.76,6,5.95,6.06
2022-01-17,Bundesgebiet,00,00+,2613,4679,4841,4809,4886,83155031,3.14,5.63,5.82,5.78,5.88
2022-01-16,Bundesgebiet,00,00+,2691,4654,4806,4776,4849,83155031,3.24,5.6,5.78,5.74,5.83
2022-01-15,Bundesgebiet,00,00+,2762,4634,4774,4746,4814,83155031,3.32,5.57,5.74,5.71,5.79
2022-01-14,Bundesgebiet,00,00+,2687,4593,4716,4690,4752,83155031,3.23,5.52,5.67,5.64,5.71
2022-01-13,Bundesgebiet,00,00+,2573,4536,4643,4621,4675,83155031,3.09,5.45,5.58,5.56,5.62
2022-01-12,Bundesgebiet,00,00+,2603,4624,4718,4698,4746,83155031,3.13,5.56,5.67,5.65,5.71
2022-01-11,Bundesgebiet,00,00+,2778,4845,4928,4911,4953,83155031,3.34,5.83,5.93,5.91,5.96
2022-01-10,Bundesgebiet,00,00+,2799,4947,5019,5004,5040,83155031,3.37,5.95,6.04,6.02,6.06
2022-01-09,Bundesgebiet,00,00+,2896,5012,5080,5066,5100,83155031,3.48,6.03,6.11,6.09,6.13
2022-01-08,Bundesgebiet,00,00+,2874,4908,4970,4957,4988,83155031,3.46,5.9,5.98,5.96,6
2022-01-07,Bundesgebiet,00,00+,2617,4730,4782,4771,4797,83155031,3.15,5.69,5.75,5.74,5.77
