Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2022-08-05,Bundesgebiet,00,00+,5159,5159,NA,NA,NA,83155031,6.2,6.2,NA,NA,NA
2022-08-04,Bundesgebiet,00,00+,5202,5991,NA,NA,NA,83155031,6.26,7.2,NA,NA,NA
2022-08-03,Bundesgebiet,00,00+,5291,6634,NA,NA,NA,83155031,6.36,7.98,NA,NA,NA
2022-08-02,Bundesgebiet,00,00+,5125,7184,8968,8757,9172,83155031,6.16,8.64,10.79,10.53,11.03
2022-08-01,Bundesgebiet,00,00+,5567,7948,9445,9247,9609,83155031,6.69,9.56,11.36,11.12,11.56
2022-07-31,Bundesgebiet,00,00+,5917,8115,9590,9397,9747,83155031,7.12,9.76,11.53,11.3,11.72
2022-07-30,Bundesgebiet,00,00+,6242,8233,9665,9477,9825,83155031,7.51,9.9,11.62,11.4,11.82
2022-07-29,Bundesgebiet,00,00+,6179,8648,10005,9804,10166,83155031,7.43,10.4,12.03,11.79,12.23
2022-07-28,Bundesgebiet,00,00+,6377,9204,10451,10257,10619,83155031,7.67,11.07,12.57,12.34,12.77
2022-07-27,Bundesgebiet,00,00+,6369,9557,10664,10468,10831,83155031,7.66,11.49,12.83,12.59,13.03
2022-07-26,Bundesgebiet,00,00+,5884,9754,10712,10535,10874,83155031,7.08,11.73,12.88,12.67,13.08
2022-07-25,Bundesgebiet,00,00+,5934,9724,10485,10331,10633,83155031,7.14,11.69,12.61,12.42,12.79
2022-07-24,Bundesgebiet,00,00+,6235,9684,10415,10265,10562,83155031,7.5,11.65,12.53,12.35,12.7
2022-07-23,Bundesgebiet,00,00+,6560,9687,10395,10249,10540,83155031,7.89,11.65,12.5,12.33,12.68
2022-07-22,Bundesgebiet,00,00+,6318,9802,10445,10308,10582,83155031,7.6,11.79,12.56,12.4,12.73
2022-07-21,Bundesgebiet,00,00+,5948,9562,10119,9996,10243,83155031,7.15,11.5,12.17,12.02,12.32
2022-07-20,Bundesgebiet,00,00+,5784,9499,9989,9878,10104,83155031,6.96,11.42,12.01,11.88,12.15
2022-07-19,Bundesgebiet,00,00+,5418,9305,9726,9626,9829,83155031,6.52,11.19,11.7,11.58,11.82
2022-07-18,Bundesgebiet,00,00+,5591,9267,9617,9529,9709,83155031,6.72,11.14,11.57,11.46,11.68
2022-07-17,Bundesgebiet,00,00+,5899,9288,9629,9543,9719,83155031,7.09,11.17,11.58,11.48,11.69
2022-07-16,Bundesgebiet,00,00+,6183,9254,9585,9500,9673,83155031,7.44,11.13,11.53,11.43,11.63
2022-07-15,Bundesgebiet,00,00+,5595,8948,9239,9164,9321,83155031,6.73,10.76,11.11,11.02,11.21
2022-07-14,Bundesgebiet,00,00+,5263,8676,8932,8864,9006,83155031,6.33,10.43,10.74,10.66,10.83
2022-07-13,Bundesgebiet,00,00+,4948,8440,8663,8602,8730,83155031,5.95,10.15,10.42,10.35,10.5
2022-07-12,Bundesgebiet,00,00+,4681,8235,8426,8373,8486,83155031,5.63,9.9,10.13,10.07,10.21
2022-07-11,Bundesgebiet,00,00+,4629,7824,7971,7930,8020,83155031,5.57,9.41,9.59,9.54,9.65
2022-07-10,Bundesgebiet,00,00+,4827,7774,7915,7875,7962,83155031,5.8,9.35,9.52,9.47,9.58
2022-07-09,Bundesgebiet,00,00+,5068,7736,7871,7833,7916,83155031,6.09,9.3,9.47,9.42,9.52
