Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2022-03-28,Bundesgebiet,00,00+,5770,5770,NA,NA,NA,83155031,6.94,6.94,NA,NA,NA
2022-03-27,Bundesgebiet,00,00+,5993,6182,NA,NA,NA,83155031,7.21,7.43,NA,NA,NA
2022-03-26,Bundesgebiet,00,00+,6241,6665,NA,NA,NA,83155031,7.51,8.02,NA,NA,NA
2022-03-25,Bundesgebiet,00,00+,6143,7368,11121,10885,11376,83155031,7.39,8.86,13.37,13.09,13.68
2022-03-24,Bundesgebiet,00,00+,6051,7992,11215,10987,11452,83155031,7.28,9.61,13.49,13.21,13.77
2022-03-23,Bundesgebiet,00,00+,6009,8493,11200,10981,11394,83155031,7.23,10.21,13.47,13.21,13.7
2022-03-22,Bundesgebiet,00,00+,5888,8890,11149,10911,11320,83155031,7.08,10.69,13.41,13.12,13.61
2022-03-21,Bundesgebiet,00,00+,6121,9287,11236,11008,11399,83155031,7.36,11.17,13.51,13.24,13.71
2022-03-20,Bundesgebiet,00,00+,6340,9440,11303,11088,11467,83155031,7.62,11.35,13.59,13.34,13.79
2022-03-19,Bundesgebiet,00,00+,6645,9646,11409,11202,11572,83155031,7.99,11.6,13.72,13.47,13.92
2022-03-18,Bundesgebiet,00,00+,6496,9807,11404,11211,11562,83155031,7.81,11.79,13.72,13.48,13.9
2022-03-17,Bundesgebiet,00,00+,6305,9922,11350,11174,11500,83155031,7.58,11.93,13.65,13.44,13.83
2022-03-16,Bundesgebiet,00,00+,6192,9924,11179,11022,11319,83155031,7.45,11.93,13.44,13.26,13.61
2022-03-15,Bundesgebiet,00,00+,5995,9945,11037,10896,11165,83155031,7.21,11.96,13.27,13.1,13.43
2022-03-14,Bundesgebiet,00,00+,5630,9633,10558,10435,10669,83155031,6.77,11.58,12.7,12.55,12.83
2022-03-13,Bundesgebiet,00,00+,5883,9591,10470,10353,10577,83155031,7.07,11.53,12.59,12.45,12.72
2022-03-12,Bundesgebiet,00,00+,6019,9521,10346,10234,10447,83155031,7.24,11.45,12.44,12.31,12.56
2022-03-11,Bundesgebiet,00,00+,5822,9385,10120,10020,10211,83155031,7,11.29,12.17,12.05,12.28
2022-03-10,Bundesgebiet,00,00+,5604,9220,9864,9774,9945,83155031,6.74,11.09,11.86,11.75,11.96
2022-03-09,Bundesgebiet,00,00+,5503,9116,9675,9595,9747,83155031,6.62,10.96,11.64,11.54,11.72
2022-03-08,Bundesgebiet,00,00+,5118,8842,9308,9240,9370,83155031,6.15,10.63,11.19,11.11,11.27
2022-03-07,Bundesgebiet,00,00+,5036,8730,9130,9071,9185,83155031,6.06,10.5,10.98,10.91,11.05
2022-03-06,Bundesgebiet,00,00+,5185,8705,9084,9027,9136,83155031,6.24,10.47,10.92,10.86,10.99
2022-03-05,Bundesgebiet,00,00+,5432,8779,9135,9080,9184,83155031,6.53,10.56,10.99,10.92,11.05
2022-03-04,Bundesgebiet,00,00+,5283,8804,9121,9071,9166,83155031,6.35,10.59,10.97,10.91,11.02
2022-03-03,Bundesgebiet,00,00+,5285,8831,9109,9065,9149,83155031,6.36,10.62,10.96,10.9,11
2022-03-02,Bundesgebiet,00,00+,5105,8881,9122,9082,9156,83155031,6.14,10.68,10.97,10.92,11.01
2022-03-01,Bundesgebiet,00,00+,4932,9037,9244,9209,9274,83155031,5.93,10.87,11.12,11.08,11.15
2022-02-28,Bundesgebiet,00,00+,5053,9273,9452,9422,9479,83155031,6.08,11.15,11.37,11.33,11.4
2022-02-27,Bundesgebiet,00,00+,5260,9367,9536,9507,9561,83155031,6.33,11.26,11.47,11.43,11.5
2022-02-26,Bundesgebiet,00,00+,5425,9396,9549,9523,9572,83155031,6.52,11.3,11.48,11.45,11.51
2022-02-25,Bundesgebiet,00,00+,5221,9479,9609,9587,9629,83155031,6.28,11.4,11.56,11.53,11.58
2022-02-24,Bundesgebiet,00,00+,5217,9627,9733,9715,9749,83155031,6.27,11.58,11.71,11.68,11.72
2022-02-23,Bundesgebiet,00,00+,5275,9714,9793,9780,9805,83155031,6.34,11.68,11.78,11.76,11.79
2022-02-22,Bundesgebiet,00,00+,5165,9837,9889,9879,9897,83155031,6.21,11.83,11.89,11.88,11.9
2022-02-21,Bundesgebiet,00,00+,5040,9781,9811,9805,9816,83155031,6.06,11.76,11.8,11.79,11.8
2022-02-20,Bundesgebiet,00,00+,5213,9739,9762,9758,9766,83155031,6.27,11.71,11.74,11.74,11.75
2022-02-19,Bundesgebiet,00,00+,5301,9673,9690,9686,9692,83155031,6.37,11.63,11.65,11.65,11.66
2022-02-18,Bundesgebiet,00,00+,5189,9702,9710,9709,9712,83155031,6.24,11.67,11.68,11.68,11.68
2022-02-17,Bundesgebiet,00,00+,4962,9633,9635,9635,9636,83155031,5.97,11.58,11.59,11.59,11.59
2022-02-16,Bundesgebiet,00,00+,5019,9629,9629,9629,9629,83155031,6.04,11.58,11.58,11.58,11.58
2022-02-15,Bundesgebiet,00,00+,4906,9703,9703,9703,9703,83155031,5.9,11.67,11.67,11.67,11.67
2022-02-14,Bundesgebiet,00,00+,4933,9785,9785,9785,9785,83155031,5.93,11.77,11.77,11.77,11.77
2022-02-13,Bundesgebiet,00,00+,5181,9848,9848,9848,9848,83155031,6.23,11.84,11.84,11.84,11.84
2022-02-12,Bundesgebiet,00,00+,5370,9936,9936,9936,9936,83155031,6.46,11.95,11.95,11.95,11.95
2022-02-11,Bundesgebiet,00,00+,5375,9983,9983,9983,9983,83155031,6.46,12.01,12.01,12.01,12.01
2022-02-10,Bundesgebiet,00,00+,5178,10089,10089,10089,10089,83155031,6.23,12.13,12.13,12.13,12.13
2022-02-09,Bundesgebiet,00,00+,5046,10071,10071,10071,10071,83155031,6.07,12.11,12.11,12.11,12.11
2022-02-08,Bundesgebiet,00,00+,4659,9798,9798,9798,9798,83155031,5.6,11.78,11.78,11.78,11.78
2022-02-07,Bundesgebiet,00,00+,4498,9515,9515,9515,9515,83155031,5.41,11.44,11.44,11.44,11.44
2022-02-06,Bundesgebiet,00,00+,4684,9417,9417,9417,9417,83155031,5.63,11.32,11.32,11.32,11.32
2022-02-05,Bundesgebiet,00,00+,4782,9309,9309,9309,9309,83155031,5.75,11.19,11.19,11.19,11.19
2022-02-04,Bundesgebiet,00,00+,4531,9027,9027,9027,9027,83155031,5.45,10.86,10.86,10.86,10.86
2022-02-03,Bundesgebiet,00,00+,4155,8606,8606,8606,8606,83155031,5,10.35,10.35,10.35,10.35
2022-02-02,Bundesgebiet,00,00+,3970,8223,8223,8223,8223,83155031,4.77,9.89,9.89,9.89,9.89
2022-02-01,Bundesgebiet,00,00+,3816,7986,7986,7986,7986,83155031,4.59,9.6,9.6,9.6,9.6
2022-01-31,Bundesgebiet,00,00+,3858,7887,7887,7887,7887,83155031,4.64,9.48,9.48,9.48,9.48
2022-01-30,Bundesgebiet,00,00+,3998,7862,7862,7862,7862,83155031,4.81,9.45,9.45,9.45,9.45
2022-01-29,Bundesgebiet,00,00+,3956,7691,7691,7691,7691,83155031,4.76,9.25,9.25,9.25,9.25
2022-01-28,Bundesgebiet,00,00+,3927,7561,7561,7561,7561,83155031,4.72,9.09,9.09,9.09,9.09
2022-01-27,Bundesgebiet,00,00+,3855,7370,7370,7370,7370,83155031,4.64,8.86,8.86,8.86,8.86
2022-01-26,Bundesgebiet,00,00+,3539,7216,7216,7216,7216,83155031,4.26,8.68,8.68,8.68,8.68
2022-01-25,Bundesgebiet,00,00+,3385,6898,6898,6898,6898,83155031,4.07,8.3,8.3,8.3,8.3
2022-01-24,Bundesgebiet,00,00+,3222,6593,6593,6593,6593,83155031,3.87,7.93,7.93,7.93,7.93
2022-01-23,Bundesgebiet,00,00+,3260,6392,6392,6392,6392,83155031,3.92,7.69,7.69,7.69,7.69
2022-01-22,Bundesgebiet,00,00+,3267,6272,6272,6272,6272,83155031,3.93,7.54,7.54,7.54,7.54
2022-01-21,Bundesgebiet,00,00+,3133,5955,5955,5955,5955,83155031,3.77,7.16,7.16,7.16,7.16
2022-01-20,Bundesgebiet,00,00+,2958,5692,5692,5692,5692,83155031,3.56,6.85,6.85,6.85,6.85
2022-01-19,Bundesgebiet,00,00+,2780,5411,5411,5411,5411,83155031,3.34,6.51,6.51,6.51,6.51
2022-01-18,Bundesgebiet,00,00+,2636,5158,5158,5158,5158,83155031,3.17,6.2,6.2,6.2,6.2
2022-01-17,Bundesgebiet,00,00+,2613,5000,5000,5000,5000,83155031,3.14,6.01,6.01,6.01,6.01
2022-01-16,Bundesgebiet,00,00+,2691,4959,4959,4959,4959,83155031,3.24,5.96,5.96,5.96,5.96
2022-01-15,Bundesgebiet,00,00+,2762,4916,4916,4916,4916,83155031,3.32,5.91,5.91,5.91,5.91
2022-01-14,Bundesgebiet,00,00+,2687,4861,4861,4861,4861,83155031,3.23,5.85,5.85,5.85,5.85
2022-01-13,Bundesgebiet,00,00+,2573,4783,4783,4783,4783,83155031,3.09,5.75,5.75,5.75,5.75
2022-01-12,Bundesgebiet,00,00+,2603,4835,4835,4835,4835,83155031,3.13,5.81,5.81,5.81,5.81
2022-01-11,Bundesgebiet,00,00+,2778,5050,5050,5050,5050,83155031,3.34,6.07,6.07,6.07,6.07
2022-01-10,Bundesgebiet,00,00+,2799,5150,5150,5150,5150,83155031,3.37,6.19,6.19,6.19,6.19
2022-01-09,Bundesgebiet,00,00+,2896,5205,5205,5205,5205,83155031,3.48,6.26,6.26,6.26,6.26
2022-01-08,Bundesgebiet,00,00+,2874,5087,5087,5087,5087,83155031,3.46,6.12,6.12,6.12,6.12
2022-01-07,Bundesgebiet,00,00+,2617,4883,4883,4883,4883,83155031,3.15,5.87,5.87,5.87,5.87
2022-01-06,Bundesgebiet,00,00+,2709,5113,5113,5113,5113,83155031,3.26,6.15,6.15,6.15,6.15
2022-01-05,Bundesgebiet,00,00+,2661,5188,5188,5188,5188,83155031,3.2,6.24,6.24,6.24,6.24
2022-01-04,Bundesgebiet,00,00+,2597,5255,5255,5255,5255,83155031,3.12,6.32,6.32,6.32,6.32
2022-01-03,Bundesgebiet,00,00+,2550,5221,5221,5221,5221,83155031,3.07,6.28,6.28,6.28,6.28
2022-01-02,Bundesgebiet,00,00+,2598,5221,5221,5221,5221,83155031,3.12,6.28,6.28,6.28,6.28
2022-01-01,Bundesgebiet,00,00+,2671,5221,5221,5221,5221,83155031,3.21,6.28,6.28,6.28,6.28
2021-12-31,Bundesgebiet,00,00+,2665,5179,5179,5179,5179,83155031,3.2,6.23,6.23,6.23,6.23
2021-12-30,Bundesgebiet,00,00+,2622,5159,5159,5159,5159,83155031,3.15,6.2,6.2,6.2,6.2
2021-12-29,Bundesgebiet,00,00+,2647,5194,5194,5194,5194,83155031,3.18,6.25,6.25,6.25,6.25
2021-12-28,Bundesgebiet,00,00+,2704,5308,5308,5308,5308,83155031,3.25,6.38,6.38,6.38,6.38
2021-12-27,Bundesgebiet,00,00+,2709,5415,5415,5415,5415,83155031,3.26,6.51,6.51,6.51,6.51
2021-12-26,Bundesgebiet,00,00+,2751,5509,5509,5509,5509,83155031,3.31,6.62,6.62,6.62,6.62
2021-12-25,Bundesgebiet,00,00+,3069,5921,5921,5921,5921,83155031,3.69,7.12,7.12,7.12,7.12
2021-12-24,Bundesgebiet,00,00+,3614,6546,6546,6546,6546,83155031,4.35,7.87,7.87,7.87,7.87
