Datum,Bundesland,Bundesland_Id,Altersgruppe,fixierte_7T_Hospitalisierung_Faelle,aktualisierte_7T_Hospitalisierung_Faelle,PS_adjustierte_7T_Hospitalisierung_Faelle,UG_PI_adjustierte_7T_Hospitalisierung_Faelle,OG_PI_adjustierte_7T_Hospitalisierung_Faelle,Bevoelkerung,fixierte_7T_Hospitalisierung_Inzidenz,aktualisierte_7T_Hospitalisierung_Inzidenz,PS_adjustierte_7T_Hospitalisierung_Inzidenz,UG_PI_adjustierte_7T_Hospitalisierung_Inzidenz,OG_PI_adjustierte_7T_Hospitalisierung_Inzidenz
2021-12-24,Bundesgebiet,00,00+,3614,3614,NA,NA,NA,83155031,4.35,4.35,NA,NA,NA
2021-12-23,Bundesgebiet,00,00+,3787,4308,NA,NA,NA,83155031,4.55,5.18,NA,NA,NA
2021-12-22,Bundesgebiet,00,00+,3797,4888,NA,NA,NA,83155031,4.57,5.88,NA,NA,NA
2021-12-21,Bundesgebiet,00,00+,3934,5543,8431,8246,8590,83155031,4.73,6.67,10.14,9.92,10.33
2021-12-20,Bundesgebiet,00,00+,3932,5961,8627,8436,8779,83155031,4.73,7.17,10.38,10.15,10.56
2021-12-19,Bundesgebiet,00,00+,4021,6112,8659,8462,8806,83155031,4.84,7.35,10.41,10.18,10.59
2021-12-18,Bundesgebiet,00,00+,4234,6467,8857,8650,9003,83155031,5.09,7.78,10.65,10.4,10.83
2021-12-17,Bundesgebiet,00,00+,4241,6845,9035,8836,9186,83155031,5.1,8.23,10.87,10.63,11.05
2021-12-16,Bundesgebiet,00,00+,4301,7277,9242,9056,9396,83155031,5.17,8.75,11.11,10.89,11.3
2021-12-15,Bundesgebiet,00,00+,4385,7738,9465,9294,9618,83155031,5.27,9.31,11.38,11.18,11.57
2021-12-14,Bundesgebiet,00,00+,4334,8095,9567,9416,9717,83155031,5.21,9.73,11.51,11.32,11.69
2021-12-13,Bundesgebiet,00,00+,4298,8512,9826,9685,9973,83155031,5.17,10.24,11.82,11.65,11.99
2021-12-12,Bundesgebiet,00,00+,4551,8799,10068,9930,10216,83155031,5.47,10.58,12.11,11.94,12.29
2021-12-11,Bundesgebiet,00,00+,4768,8971,10142,10011,10284,83155031,5.73,10.79,12.2,12.04,12.37
2021-12-10,Bundesgebiet,00,00+,4748,9283,10345,10222,10478,83155031,5.71,11.16,12.44,12.29,12.6
2021-12-09,Bundesgebiet,00,00+,4778,9544,10493,10380,10617,83155031,5.75,11.48,12.62,12.48,12.77
2021-12-08,Bundesgebiet,00,00+,4815,9801,10641,10537,10755,83155031,5.79,11.79,12.8,12.67,12.93
2021-12-07,Bundesgebiet,00,00+,4531,9790,10510,10416,10612,83155031,5.45,11.77,12.64,12.53,12.76
2021-12-06,Bundesgebiet,00,00+,4423,9765,10391,10308,10484,83155031,5.32,11.74,12.5,12.4,12.61
2021-12-05,Bundesgebiet,00,00+,4554,9734,10318,10239,10406,83155031,5.48,11.71,12.41,12.31,12.51
2021-12-04,Bundesgebiet,00,00+,4683,9729,10262,10188,10344,83155031,5.63,11.7,12.34,12.25,12.44
2021-12-03,Bundesgebiet,00,00+,4593,9787,10255,10188,10330,83155031,5.52,11.77,12.33,12.25,12.42
2021-12-02,Bundesgebiet,00,00+,4545,9840,10245,10184,10312,83155031,5.47,11.83,12.32,12.25,12.4
2021-12-01,Bundesgebiet,00,00+,4667,9867,10211,10156,10269,83155031,5.61,11.87,12.28,12.21,12.35
2021-11-30,Bundesgebiet,00,00+,4766,10141,10436,10387,10488,83155031,5.73,12.2,12.55,12.49,12.61
2021-11-29,Bundesgebiet,00,00+,4589,10274,10528,10484,10575,83155031,5.52,12.36,12.66,12.61,12.72
2021-11-28,Bundesgebiet,00,00+,4821,10377,10615,10573,10659,83155031,5.8,12.48,12.77,12.71,12.82
2021-11-27,Bundesgebiet,00,00+,5001,10324,10539,10500,10580,83155031,6.01,12.42,12.67,12.63,12.72
2021-11-26,Bundesgebiet,00,00+,4966,10354,10538,10505,10574,83155031,5.97,12.45,12.67,12.63,12.72
2021-11-25,Bundesgebiet,00,00+,4814,10329,10485,10455,10515,83155031,5.79,12.42,12.61,12.57,12.65
2021-11-24,Bundesgebiet,00,00+,4770,10201,10327,10303,10352,83155031,5.74,12.27,12.42,12.39,12.45
2021-11-23,Bundesgebiet,00,00+,4659,10128,10225,10206,10244,83155031,5.6,12.18,12.3,12.27,12.32
2021-11-22,Bundesgebiet,00,00+,4390,9925,9999,9985,10015,83155031,5.28,11.94,12.03,12.01,12.04
2021-11-21,Bundesgebiet,00,00+,4467,9810,9874,9861,9887,83155031,5.37,11.8,11.87,11.86,11.89
2021-11-20,Bundesgebiet,00,00+,4575,9774,9826,9816,9837,83155031,5.5,11.75,11.82,11.8,11.83
2021-11-19,Bundesgebiet,00,00+,4437,9546,9582,9575,9590,83155031,5.34,11.48,11.52,11.51,11.53
2021-11-18,Bundesgebiet,00,00+,4407,9343,9366,9361,9371,83155031,5.3,11.24,11.26,11.26,11.27
2021-11-17,Bundesgebiet,00,00+,4286,9102,9115,9112,9117,83155031,5.15,10.95,10.96,10.96,10.96
2021-11-16,Bundesgebiet,00,00+,4042,8749,8753,8753,8754,83155031,4.86,10.52,10.53,10.53,10.53
2021-11-15,Bundesgebiet,00,00+,3869,8509,8510,8509,8510,83155031,4.65,10.23,10.23,10.23,10.23
2021-11-14,Bundesgebiet,00,00+,3974,8305,8305,8305,8305,83155031,4.78,9.99,9.99,9.99,9.99
2021-11-13,Bundesgebiet,00,00+,4008,8131,8131,8131,8131,83155031,4.82,9.78,9.78,9.78,9.78
2021-11-12,Bundesgebiet,00,00+,3909,7943,7943,7943,7943,83155031,4.7,9.55,9.55,9.55,9.55
2021-11-11,Bundesgebiet,00,00+,3869,7726,7726,7726,7726,83155031,4.65,9.29,9.29,9.29,9.29
2021-11-10,Bundesgebiet,00,00+,3831,7621,7621,7621,7621,83155031,4.61,9.16,9.16,9.16,9.16
2021-11-09,Bundesgebiet,00,00+,3587,7303,7303,7303,7303,83155031,4.31,8.78,8.78,8.78,8.78
2021-11-08,Bundesgebiet,00,00+,3267,6855,6855,6855,6855,83155031,3.93,8.24,8.24,8.24,8.24
2021-11-07,Bundesgebiet,00,00+,3341,6777,6777,6777,6777,83155031,4.02,8.15,8.15,8.15,8.15
2021-11-06,Bundesgebiet,00,00+,3433,6672,6672,6672,6672,83155031,4.13,8.02,8.02,8.02,8.02
2021-11-05,Bundesgebiet,00,00+,3250,6440,6440,6440,6440,83155031,3.91,7.74,7.74,7.74,7.74
2021-11-04,Bundesgebiet,00,00+,3103,6180,6180,6180,6180,83155031,3.73,7.43,7.43,7.43,7.43
2021-11-03,Bundesgebiet,00,00+,3011,5944,5944,5944,5944,83155031,3.62,7.15,7.15,7.15,7.15
2021-11-02,Bundesgebiet,00,00+,2738,5735,5735,5735,5735,83155031,3.29,6.9,6.9,6.9,6.9
2021-11-01,Bundesgebiet,00,00+,2878,5816,5816,5816,5816,83155031,3.46,6.99,6.99,6.99,6.99
2021-10-31,Bundesgebiet,00,00+,2883,5698,5698,5698,5698,83155031,3.47,6.85,6.85,6.85,6.85
2021-10-30,Bundesgebiet,00,00+,2972,5615,5615,5615,5615,83155031,3.57,6.75,6.75,6.75,6.75
2021-10-29,Bundesgebiet,00,00+,2913,5446,5446,5446,5446,83155031,3.5,6.55,6.55,6.55,6.55
2021-10-28,Bundesgebiet,00,00+,2753,5233,5233,5233,5233,83155031,3.31,6.29,6.29,6.29,6.29
2021-10-27,Bundesgebiet,00,00+,2551,4910,4910,4910,4910,83155031,3.07,5.9,5.9,5.9,5.9
2021-10-26,Bundesgebiet,00,00+,2454,4809,4809,4809,4809,83155031,2.95,5.78,5.78,5.78,5.78
2021-10-25,Bundesgebiet,00,00+,2303,4686,4686,4686,4686,83155031,2.77,5.64,5.64,5.64,5.64
2021-10-24,Bundesgebiet,00,00+,2352,4628,4628,4628,4628,83155031,2.83,5.57,5.57,5.57,5.57
2021-10-23,Bundesgebiet,00,00+,2354,4421,4421,4421,4421,83155031,2.83,5.32,5.32,5.32,5.32
2021-10-22,Bundesgebiet,00,00+,2229,4143,4143,4143,4143,83155031,2.68,4.98,4.98,4.98,4.98
2021-10-21,Bundesgebiet,00,00+,2036,3904,3904,3904,3904,83155031,2.45,4.69,4.69,4.69,4.69
